DATE,DOW,RATE_CODE,MARKET_CODE,RATE_DESC,NO_ROOMS,REVENUE
1/1/2017,Sun,AAA,RACK,AAA Hotel Lodging Program,1,703
1/1/2017,Sun,ABC,CONS,ABC Consortia,0,0
1/1/2017,Sun,ABU,CORP,Abu Dhabi Investment Council,0,0
1/1/2017,Sun,ACTIVISION,CORP,Activision Blizzard,0,0
1/1/2017,Sun,AGODA,DIST,Agoda OTA Free Cancellation,2,363.34
1/1/2017,Sun,AGODAAPS,DIST,Agoda OTA - Non-Refundable Prepaid,1,278.16
1/1/2017,Sun,AGODAOPQ,DIST,Agoda/Priceline Opaque,0,0
1/1/2017,Sun,AICP,CORP,Aicp,0,0
1/1/2017,Sun,AKAMAI,CORP,Akamai Technologies,0,0
1/1/2017,Sun,ALTOUR,CONS,Altour Hotel Collection (Includes Cont Brkfast and Amenities),0,0
1/1/2017,Sun,ALTPRP,CONS,Altour Preferred Rate Program (No amenities),1,231.2
1/1/2017,Sun,AMAZON,CORP,Amazon/Zappos,0,0
1/1/2017,Sun,AMEX,CONS,American Express,0,0
1/1/2017,Sun,AOL,CORP,Oath Inc.,0,0
1/1/2017,Sun,AP10,RACK,Advanced Purchase Rate,0,0
1/1/2017,Sun,AP30,RACK,90 Day Advanced Purchase Promotion,6,2233.5
1/1/2017,Sun,AP5,RACK,7 Day Advanced Purchase Promo Rate,0,0
1/1/2017,Sun,APPT,CORP,Appointment Group,0,0
1/1/2017,Sun,ARF,CORP,Advertising Research Foundation,0,0
1/1/2017,Sun,ASB,CORP,American Standard Brands,0,0
1/1/2017,Sun,ASCENA,CORP,Ascena Retail Group,0,0
1/1/2017,Sun,ASP,CORP,Aspen Travel,0,0
1/1/2017,Sun,AXIOM,CORP,Axiom Cornerstone Commodities,0,0
1/1/2017,Sun,BAR,RACK,Best Available Rate,0,0
1/1/2017,Sun,BARCLAYS,CORP,Barclays,0,0
1/1/2017,Sun,BART,SPEC,Barter/Trade,0,0
1/1/2017,Sun,BCD,CONS,BCD/BCP,0,0
1/1/2017,Sun,BCG,CORP,Boston Consulting Group,0,0
1/1/2017,Sun,BFAST,PKG,Bed & Breakfast Package,0,0
1/1/2017,Sun,BLUE,CORP,Blue Cube Travel,0,0
1/1/2017,Sun,BONO,WHOL,Bonotel Dynamic Free Cancellation,0,0
1/1/2017,Sun,BONOPRO,WHOL,Bonotel Promotion,0,0
1/1/2017,Sun,BOOK,DIST,Booking.com,19,7137.69
1/1/2017,Sun,BOOK20,DIST,Booking.com 20% off,1,315
1/1/2017,Sun,BOOKINT,DIST,Booking.com International,0,0
1/1/2017,Sun,BOOKINT2,DIST,Booking.com International 2,3,1177
1/1/2017,Sun,BOOKNF,DIST,Booking.com Non-Refundable 10%,2,687.1
1/1/2017,Sun,BOOKPRO,DIST,Booking.com Special Offer (Promotion),0,0
1/1/2017,Sun,BOUNCE15,RACK,Bounce/Fall Back Rate - *Use Source Code when book directly,0,0
1/1/2017,Sun,BROADRIDGE,CORP,"Broadridge Financial Solutions, Inc",0,0
1/1/2017,Sun,BUSTLE,CORP,Bustle Negotiated Rate,0,0
1/1/2017,Sun,CCRA,CONS,CCRA Consortia,0,0
1/1/2017,Sun,CHICO,CORP,Chico's FAS,0,0
1/1/2017,Sun,CHRISTIES,CORP,Christie's,0,0
1/1/2017,Sun,CITI,CORP,Citgroup,0,0
1/1/2017,Sun,CMRTRACK,CORP,Consumer Track,0,0
1/1/2017,Sun,COZY,PKG,Get Cozy Package,0,0
1/1/2017,Sun,CPT,CORP,Columbia Property Trust,0,0
1/1/2017,Sun,CREDIT,CORP,Credit Suisse,0,0
1/1/2017,Sun,CRITEO,CORP,CRITEO Corporate rate,0,0
1/1/2017,Sun,CRSIGHT,CORP,Credit Sights,0,0
1/1/2017,Sun,CWT,CONS,Carlson Wagonlit,0,0
1/1/2017,Sun,CYBER,RACK,Cyber Monday Sale,2,1124.8
1/1/2017,Sun,CYBERSUITE,RACK,Cyber Monday Sale - Suite Code,0,0
1/1/2017,Sun,CYCLE,PKG,Tour De Domestique Cycling Package,0,0
1/1/2017,Sun,DER,CONS,Der Consortia Program,0,0
1/1/2017,Sun,EAGLE,CORP,American Eagle Outfitters,0,0
1/1/2017,Sun,EGENCIA,DIST,DO NOT USE-Egencia Corporate Travel (Expedia),0,0
1/1/2017,Sun,ELEMIS,CORP,Elemis,0,0
1/1/2017,Sun,EMBASSY,CORP,Embassy Row,0,0
1/1/2017,Sun,ENTER,CORP,Entertainment Industry Rate,0,0
1/1/2017,Sun,EXEC,CORP,Executive Reservation,0,0
